country,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,7,0,74,0,0,0,0,0,0,0,0,0,0,0,0,1430,7,20,0,0,0,12,12,103,0,50,60,10,54,30,70,13,256,0,372,16,0,3,31,61,781,148,0,175,31,32,137,12,231,0,1,2,21,5,0,34,6,2,
Algeria,,,,,,,,,,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,12,0,0,0,0,25,0,0,0,276,0,0,0,0,0,25,0,1250,0,0,0,0,48,57,0,0,0,0,2,57,30,0,76,0,0,0,21,11,0,0,0,0,0,2630,43,167,0,54,56,0,33,0,49,24,0,41,37,255,50,12,5,0,46,70,921,173,2520,104,43,37,90,124,103,29,10,83,0,113,30,58,17,277,8,31,134,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,40,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,6000,50,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,50,36,0,400,49,20,0,25,0,0,81,0,0,0,8,0,307,219,60,0,0,5240,20,65,28,375,222,460,24,3,87,248,118,0,146,58,138,38,0,0,67,62,55,3,112,7,72,36,56,12,704,33,48,33,0,18,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,10.3k,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,48,15,0,40,0,53,0,0,100,196,98,16,50,137,100,10,19,505,598,112,621,173,159,107,45,222,163,147,607,119,316,136,1280,73,350,103,69,106,92,134,214,254,299,81,12,75,40,98,24
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,0,33,72,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Spain,,,,,,,,,,,,,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,500,0,0,147,0,0,0,0,0,50,0,0,11,77,0,135,0,0,445,0,0,30,0,0,0,0,52,400,84,519,4,28,1,0,252,92,197,340,117,399,26,222,0,66,0,45,83,17,63,40,42,44,115,72,30,35,87,106,33,15.2k,39,38,68,62,183,20,17,33,14,79,17,19,18,4,24,27,17,29,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,912,0,0,0,0,0,0,22,0,0,0,3,0,0,0,0,0,10,1,0,0,0,0,0,7,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,0,0,0,2000,0,0,1,24,500,0,0,100k,0,0,0,71,9,0,157,990,0,300k,0,1500,0,421,7480,78,0,163,0,32,26,160,49,326,21,68,519,471,105,144,45,335,1320,22,65,135,35,0,0,110,0,0,203,0,62,250,44,0,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,24,0,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,59,0,0,0,0,0,53,18,0,0,9,0,32,20,1,0,10,0,0,1,21,0,0,0,25,0,29,4,1,0,17,16,0,4,7,7,14,2,0,17,0,0,0,47,0,7,1,8,6,
